"Statistična regija","Investicije 2015","Investicije 2016","Investicije 2017","Investicije 2018","Investicije 2019"
"Pomurska",20102,9169,7924,6318,10878
"Podravska",30045,12171,65485,8971,11299
"Koroška",5362,5095,4622,1766,4211
"Savinjska",51317,18965,18700,23747,18843
"Zasavska",3858,1585,10368,20402,9053
"Posavska",6866,26663,36023,48567,29530
"Jugovzhodna Slovenija",7667,8688,10286,7406,8687
"Osrednjeslovenska",239147,97721,54883,95476,100788
"Gorenjska",64137,16085,10453,11891,13038
"Primorsko-notranjska",1152,783,1713,1115,1191
"Goriška",6620,9460,6916,5306,8409
"Obalno-kraška",6226,5786,5583,6803,6606
